time;conc;exps;replicate;concm1
0;0.0000136919315403422;0.01;1;0.0000518337408312958
1;0.000117359413202933;0.01;1;0.000150611246943765
4;0.000193643031784841;0.01;1;0.000208312958435207
8;0.000160391198044009;0.01;1;0.000144743276283618
11;0.000147677261613691;0.01;1;0.000219070904645476
16;0.000183863080684596;0.01;1;0.000237652811735941
21;0.000273838630806845;0.01;1;0.000156479217603911
22;0.0000625916870415647;0.01;1;0.000214180929095354
24;0.0000136919315403422;0.01;1;0.0000723716381418092
29;0.0000117359413202933;0.01;1;0.0000929095354523227
39;0.0000127139364303178;0.01;1;0.000103667481662591
