time;conc;exps;replicate
0;0;1.10;A
6;0.102459016393442;1.10;A
24;0.204918032786885;1.10;A
48;0.389344262295081;1.10;A
96;0.491803278688525;1.10;A
96;0.614754098360656;1.10;B
96;0.655737704918031;1.10;C
170;0.758196721311474;1.10;A
170;0.901639344262296;1.10;B
170;0.942622950819672;1.10;C
240;1.18852459016393;1.10;A
240;1.27049180327868;1.10;B
0;0;0.154;A
6;0.163934426229507;0.154;A
24;0.348360655737703;0.154;A
48;0.655737704918031;0.154;A
96;0.983606557377049;0.154;A
96;1.08606557377049;0.154;B
96;1.14754098360655;0.154;C
170;1.22950819672131;0.154;A
170;1.5983606557377;0.154;B
170;1.63934426229508;0.154;C
240;1.96721311475409;0.154;A
240;2.1311475409836;0.154;B
240;2.29508196721311;0.154;C
0;0;0.0724;A
6;0.14344262295082;0.0724;A
24;0.409836065573768;0.0724;A
48;0.614754098360656;0.0724;A
96;1.04508196721311;0.0724;A
170;1.51639344262295;0.0724;A
240;2.04918032786885;0.0724;A
0;0;0.0596;A
6;0.491803278688525;0.0596;A
6;0.55327868852459;0.0596;B
6;0.819672131147539;0.0596;C
24;1.37295081967213;0.0596;A
24;1.9467213114754;0.0596;B
24;2.04918032786885;0.0596;C
48;0.901639344262296;0.0596;A
48;1.53688524590163;0.0596;B
48;1.96721311475409;0.0596;C
96;1.4139344262295;0.0596;A
96;1.63934426229508;0.0596;B
96;2.29508196721311;0.0596;C
170;1.86475409836065;0.0596;A
170;2.11065573770491;0.0596;B
170;2.95081967213114;0.0596;C
240;2.82786885245901;0.0596;A
240;3.1967213114754;0.0596;B
240;4.18032786885245;0.0596;C
