time;conc;expf;replicate
0;0;28.2;1
2;0.252049928278688;28.2;1
2;0.385246516393442;28.2;2
5;0.233607323770491;28.2;1
5;0.262295819672131;28.2;2
5;0.323771168032786;28.2;3
9;0.219263075819672;28.2;1
9;0.25000075;28.2;2
9;0.280738424180327;28.2;3
14;0.215164719262295;28.2;1
14;0.252049928278688;28.2;2
14.5;0.428279260245901;28.2;1
14.5;0.325820346311475;28.2;2
14.5;0.268443354508196;28.2;3
14.5;0.225410610655737;28.2;4
15;0.243853215163934;28.2;1
15;0.311476098360655;28.2;2
15;0.393443229508196;28.2;3
17;0.313525276639344;28.2;1
17;0.129099231557376;28.2;2
17;0.108607448770491;28.2;3
19;0.213115540983606;28.2;1
19;0.161886084016393;28.2;2
19;0.139345122950819;28.2;3
23;0.127050053278688;28.2;1
23;-0.034835030737705;28.2;2
