time;conc;replicate;expf
0;0;1;488
2;0.519164128179347;1;488
2;0.559088605163043;2;488
5;0.52448719048913;1;488
5;0.55573715923913;2;488
9;0.571494993722826;1;488
9;0.604468994565217;2;488
9;0.729468869565217;3;488
14;0.658457467146739;1;488
14;0.576878442445652;2;488
14.5;0.61682103535326;1;488
14.5;0.70362650410326;2;488
14.5;0.771328731086956;3;488
14.5;0.780009277961956;4;488
14.5;0.675848754103261;5;488
17;0.649897693097826;1;488
17;0.701980974347826;2;488
17;0.627328271222826;3;488
19;0.610045679809782;1;488
19;0.566630868152173;2;488
19;0.526706391168478;3;488
23;0.530305421385869;1;488
23;0.552874843260869;2;488
31;0.502817526168478;1;488
31;0.659079447201087;2;488
31;0.797974235842391;3;488
48.2;0.532923172391304;1;488
48.2;0.553756484891304;2;488
48.2;0.574589797391304;3;488
86;0.138412697336956;1;488
86;0.494309080570652;2;488
86;0.513406283695652;3;488
128;0.473207048532608;1;488
