time;conc;expw;exps;replicate
0;0.434959349593498;0.00946;0.0101;1
1;12.8105337575114;0.00946;0.0101;1
1;12.0496641922941;0.00946;0.0101;2
1;17.158359844468;0.00946;0.0101;3
2;23.3382820784729;0.00946;0.0101;1
2;16.165075998586;0.00946;0.0101;2
2;9.31724991162956;0.00946;0.0101;3
5;36.2269353128313;0.00946;0.0101;1
5;39.3791092258748;0.00946;0.0101;2
5;54.3791092258748;0.00946;0.0101;3
7;69.2393071756804;0.00946;0.0101;1
7;58.0438317426652;0.00946;0.0101;2
7;33.5871332626369;0.00946;0.0101;3
8;56.3976670201484;0.00946;0.0101;1
8;39.5496641922941;0.00946;0.0101;2
8;29.8757511488158;0.00946;0.0101;3
9;53.4475079533404;0.00946;0.0101;1
9;41.1647225167904;0.00946;0.0101;2
9;20.6208907741251;0.00946;0.0101;3
12;31.1180629197596;0.00946;0.0101;1
12;37.6398020501944;0.00946;0.0101;2
12;35.2486744432661;0.00946;0.0101;3
14;50.1088723930717;0.00946;0.0101;1
14;47.7175680452456;0.00946;0.0101;2
14;35.5431247790738;0.00946;0.0101;3
